city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)",Domestic Draft Non-Alcoholic Beer (0.5 Liter),Imported Non-Alcoholic Beer (0.33 Liter Bottle),Bottle of Non-Alcoholic Wine (Mid-Range),Domestic Non-Alcoholic Beer (0.5 Liter Bottle),Buffalo Round or Equivalent Back Leg Red Meat (1 kg)
Abu Dhabi,30.00 AED,250.00 AED,35.00 AED,40.00 AED,8.67 AED,19.95 AED,4.10 AED,1.39 AED,6.79 AED,5.66 AED,9.46 AED,12.60 AED,36.37 AED,33.51 AED,41.48 AED,8.79 AED,6.69 AED,6.85 AED,5.05 AED,4.36 AED,4.87 AED,6.66 AED,2.27 AED,50.00 AED,8.56 AED,24.00 AED,2.50 AED,95.00 AED,12.00 AED,2.00 AED,30.00 AED,2.76 AED,"110,000.00 AED","80,058.33 AED",589.97 AED,183.04 AED,349.19 AED,240.94 AED,158.33 AED,50.00 AED,"2,347.22 AED","50,055.39 AED",204.44 AED,183.55 AED,339.71 AED,346.11 AED,"7,027.36 AED","4,912.92 AED","13,603.86 AED","10,332.29 AED","17,311.11 AED","10,948.89 AED","9,624.94 AED",5.31,,,,,
Amman,5.00 JOD,39.80 JOD,5.00 JOD,6.00 JOD,3.58 JOD,3.17 JOD,0.40 JOD,0.31 JOD,1.09 JOD,0.41 JOD,1.14 JOD,1.76 JOD,4.48 JOD,5.05 JOD,8.43 JOD,1.65 JOD,1.44 JOD,1.02 JOD,0.56 JOD,0.67 JOD,0.53 JOD,0.45 JOD,0.45 JOD,15.00 JOD,3.41 JOD,2.62 JOD,0.55 JOD,27.50 JOD,0.50 JOD,1.00 JOD,5.00 JOD,0.97 JOD,"20,000.00 JOD","23,837.50 JOD",84.87 JOD,11.50 JOD,23.27 JOD,43.93 JOD,25.92 JOD,8.00 JOD,214.67 JOD,"5,393.68 JOD",40.91 JOD,45.36 JOD,80.05 JOD,55.00 JOD,314.24 JOD,201.19 JOD,518.89 JOD,355.00 JOD,"1,070.59 JOD",683.47 JOD,494.71 JOD,7.31,,,,,
Doha,40.00 QR,288.00 QR,27.00 QR,,,22.11 QR,3.32 QR,1.23 QR,7.53 QR,5.33 QR,8.00 QR,10.18 QR,39.37 QR,27.61 QR,39.54 QR,7.54 QR,6.04 QR,6.04 QR,5.15 QR,3.92 QR,4.00 QR,5.80 QR,1.88 QR,,,23.00 QR,2.00 QR,110.00 QR,8.00 QR,8.00 QR,50.00 QR,2.04 QR,"101,950.00 QR","77,307.14 QR",339.30 QR,118.12 QR,317.96 QR,508.33 QR,82.19 QR,45.00 QR,"2,843.89 QR","40,750.00 QR",232.22 QR,224.06 QR,387.57 QR,325.79 QR,"7,193.75 QR","4,756.25 QR","13,187.50 QR","9,659.07 QR","16,314.29 QR","10,077.14 QR","10,838.40 QR",6.05,44.50 QR,9.00 QR,35.00 QR,7.52 QR,
New York,25.00 $,140.00 $,14.00 $,8.00 $,4.01 $,5.70 $,3.28 $,2.66 $,1.31 $,4.63 $,7.73 $,6.15 $,16.58 $,15.39 $,20.29 $,6.98 $,2.53 $,6.22 $,6.41 $,3.24 $,3.80 $,2.94 $,2.59 $,19.99 $,3.38 $,19.00 $,3.00 $,133.00 $,3.00 $,2.17 $,42.00 $,0.91 $,"35,229.00 $","25,824.12 $",201.76 $,66.40 $,72.30 $,126.30 $,68.15 $,22.00 $,"3,389.82 $","59,207.20 $",67.80 $,52.61 $,114.42 $,152.50 $,"4,280.72 $","2,861.00 $","9,425.00 $","5,376.32 $","19,711.06 $","8,747.83 $","5,167.74 $",6.85,,,,,
Los Angeles,25.00 $,100.00 $,13.00 $,8.00 $,2.78 $,5.96 $,3.37 $,2.66 $,1.32 $,4.87 $,4.28 $,6.15 $,12.08 $,16.57 $,20.61 $,5.77 $,2.64 $,4.96 $,5.12 $,3.29 $,2.98 $,2.13 $,2.30 $,15.00 $,3.07 $,12.00 $,2.00 $,105.00 $,3.10 $,1.85 $,32.11 $,1.26 $,"34,000.00 $","26,023.97 $",236.08 $,58.83 $,78.00 $,49.71 $,12.00 $,18.00 $,"1,745.42 $","30,635.62 $",73.48 $,61.80 $,120.19 $,182.36 $,"2,838.70 $","2,634.71 $","6,290.35 $","4,144.78 $","8,582.07 $","7,382.14 $","3,921.75 $",7.44,,,,,
Mexico City,200.00 MXN,"1,000.00 MXN",175.00 MXN,58.00 MXN,79.61 MXN,67.69 MXN,28.72 MXN,22.72 MXN,31.80 MXN,48.73 MXN,33.32 MXN,45.34 MXN,204.12 MXN,161.74 MXN,240.03 MXN,52.51 MXN,33.59 MXN,39.19 MXN,35.38 MXN,37.90 MXN,38.42 MXN,27.27 MXN,22.47 MXN,250.00 MXN,33.67 MXN,87.00 MXN,6.50 MXN,360.00 MXN,30.00 MXN,8.00 MXN,101.00 MXN,25.00 MXN,"386,990.00 MXN","462,368.75 MXN","1,084.52 MXN",513.50 MXN,653.60 MXN,"1,011.38 MXN",535.00 MXN,120.00 MXN,"8,157.89 MXN","200,251.58 MXN","1,305.26 MXN",911.50 MXN,"2,028.52 MXN","2,225.00 MXN","20,239.13 MXN","13,352.94 MXN","46,523.81 MXN","25,131.58 MXN","65,729.50 MXN","40,641.85 MXN","18,724.34 MXN",11.31,,,,,
Buenos Aires,19.50 $,70.00 $,12.00 $,4.00 $,3.50 $,4.12 $,1.94 $,1.38 $,1.52 $,2.80 $,1.71 $,3.46 $,11.26 $,9.45 $,10.71 $,2.59 $,2.13 $,1.28 $,2.55 $,1.36 $,1.34 $,1.98 $,1.65 $,6.50 $,2.21 $,4.00 $,0.61 $,25.00 $,1.71 $,0.95 $,6.75 $,1.18 $,"25,000.00 $","30,037.17 $",185.75 $,19.04 $,33.82 $,49.49 $,15.39 $,10.00 $,385.06 $,"6,508.75 $",112.01 $,92.66 $,130.43 $,146.10 $,776.02 $,526.25 $,"1,615.78 $","1,134.48 $","2,715.50 $","2,030.21 $",796.09 $,52.71,,,,,
Miami,30.00 $,120.00 $,14.00 $,8.00 $,3.56 $,5.48 $,3.28 $,2.84 $,1.25 $,4.00 $,6.15 $,5.22 $,17.72 $,16.36 $,24.48 $,5.85 $,1.97 $,4.68 $,5.15 $,3.38 $,3.81 $,3.09 $,2.16 $,15.00 $,2.60 $,9.07 $,2.25 $,112.50 $,2.95 $,2.05 $,24.00 $,0.86 $,"35,000.00 $","26,470.99 $",152.91 $,61.90 $,67.93 $,77.68 $,22.70 $,18.00 $,"1,869.94 $","38,614.00 $",52.87 $,58.08 $,95.00 $,125.51 $,"3,010.43 $","2,090.91 $","5,450.84 $","3,739.48 $","7,080.64 $","3,816.21 $","4,166.71 $",6.54,,,,,
Chicago,20.00 $,100.00 $,13.00 $,7.00 $,3.51 $,5.61 $,3.11 $,2.26 $,1.33 $,4.08 $,5.37 $,4.78 $,14.28 $,14.56 $,16.92 $,5.18 $,1.88 $,3.87 $,4.38 $,2.52 $,2.56 $,2.41 $,2.65 $,15.00 $,3.02 $,18.00 $,2.50 $,75.00 $,3.25 $,1.40 $,22.50 $,1.01 $,"35,265.50 $","26,107.85 $",166.32 $,70.41 $,64.81 $,67.68 $,29.00 $,17.00 $,"1,825.00 $","30,287.27 $",64.14 $,50.00 $,100.35 $,153.53 $,"2,388.16 $","1,731.24 $","4,631.25 $","2,933.31 $","3,842.32 $","2,586.92 $","4,775.28 $",6.87,,,,,
San Francisco,25.00 $,150.00 $,15.00 $,8.00 $,3.77 $,5.68 $,3.27 $,2.89 $,1.61 $,5.26 $,6.33 $,6.75 $,22.36 $,14.68 $,23.56 $,7.14 $,3.04 $,5.43 $,7.80 $,3.95 $,4.73 $,3.23 $,2.99 $,18.00 $,3.06 $,14.00 $,3.00 $,87.00 $,4.15 $,2.03 $,39.00 $,1.28 $,"36,998.00 $","25,897.85 $",233.15 $,68.44 $,72.56 $,115.57 $,21.88 $,18.00 $,"3,018.16 $","42,000.00 $",74.62 $,48.60 $,100.79 $,127.76 $,"3,413.44 $","2,770.83 $","5,664.55 $","4,629.33 $","10,924.47 $","9,527.24 $","7,287.96 $",6.44,,,,,
Cancun,200.00 MXN,"1,000.00 MXN",207.72 MXN,51.93 MXN,51.39 MXN,68.97 MXN,24.66 MXN,13.66 MXN,29.88 MXN,46.02 MXN,28.83 MXN,46.75 MXN,193.96 MXN,152.69 MXN,245.26 MXN,52.24 MXN,29.24 MXN,55.33 MXN,39.63 MXN,36.76 MXN,34.62 MXN,20.82 MXN,22.73 MXN,180.00 MXN,27.81 MXN,78.00 MXN,12.00 MXN,500.00 MXN,80.00 MXN,52.82 MXN,250.00 MXN,25.41 MXN,"386,990.00 MXN","438,033.33 MXN","3,233.33 MXN",400.00 MXN,899.75 MXN,633.33 MXN,245.00 MXN,150.00 MXN,"3,775.00 MXN","99,000.00 MXN","1,000.00 MXN","1,000.00 MXN","1,200.00 MXN","1,700.00 MXN","12,720.00 MXN","8,472.00 MXN","26,000.00 MXN","20,266.67 MXN","38,409.78 MXN","40,110.36 MXN","13,804.72 MXN",11.6,,,,,
Sao Paulo,45.00 R$,250.00 R$,45.00 R$,12.00 R$,12.94 R$,11.23 R$,6.63 R$,4.60 R$,5.98 R$,10.02 R$,7.00 R$,14.41 R$,64.82 R$,26.83 R$,55.37 R$,14.40 R$,9.96 R$,9.06 R$,9.75 R$,7.63 R$,6.33 R$,6.49 R$,4.35 R$,50.00 R$,7.59 R$,14.75 R$,5.20 R$,243.00 R$,6.78 R$,4.38 R$,51.00 R$,6.04 R$,"120,000.00 R$","170,891.00 R$",452.22 R$,83.78 R$,106.75 R$,196.25 R$,203.46 R$,50.00 R$,"2,649.92 R$","84,392.00 R$",326.89 R$,290.83 R$,518.29 R$,481.45 R$,"3,491.28 R$","2,215.67 R$","7,270.43 R$","4,766.05 R$","14,594.01 R$","10,894.12 R$","4,389.33 R$",11.96,,,,,
Bogota,"25,000.00 Col$","130,000.00 Col$","30,000.00 Col$","6,000.00 Col$","8,187.20 Col$","7,421.29 Col$","4,097.64 Col$","2,694.12 Col$","5,011.36 Col$","5,966.71 Col$","4,986.06 Col$","9,813.04 Col$","20,418.18 Col$","21,470.58 Col$","30,287.71 Col$","11,496.67 Col$","4,546.63 Col$","6,248.90 Col$","5,156.23 Col$","5,241.74 Col$","5,210.98 Col$","3,477.33 Col$","3,495.87 Col$","43,300.00 Col$","4,345.45 Col$","12,400.00 Col$","3,500.00 Col$","160,000.00 Col$","6,300.00 Col$","7,000.00 Col$","30,000.00 Col$","4,170.00 Col$","70,000,000.00 Col$","108,025,000.00 Col$","342,933.49 Col$","48,326.67 Col$","109,115.38 Col$","99,238.10 Col$","49,443.75 Col$","20,000.00 Col$","1,414,705.88 Col$","31,533,333.33 Col$","239,540.91 Col$","179,238.10 Col$","400,760.00 Col$","397,131.37 Col$","2,034,239.25 Col$","1,500,301.08 Col$","3,703,329.43 Col$","2,907,975.64 Col$","8,053,625.14 Col$","5,334,859.80 Col$","1,917,297.26 Col$",12.4,,,,,
Lima,15.00 S/.,105.00 S/.,23.90 S/.,10.00 S/.,11.31 S/.,10.18 S/.,3.59 S/.,2.18 S/.,5.45 S/.,9.12 S/.,4.63 S/.,9.62 S/.,29.93 S/.,21.55 S/.,36.73 S/.,6.90 S/.,3.56 S/.,4.73 S/.,4.78 S/.,3.00 S/.,2.97 S/.,2.86 S/.,3.05 S/.,30.00 S/.,6.40 S/.,20.00 S/.,2.40 S/.,76.20 S/.,12.00 S/.,8.00 S/.,26.60 S/.,4.53 S/.,"75,648.37 S/.","86,931.87 S/.",217.73 S/.,49.99 S/.,88.08 S/.,110.88 S/.,67.71 S/.,25.00 S/.,670.83 S/.,"45,096.43 S/.",177.20 S/.,121.22 S/.,287.06 S/.,293.09 S/.,"2,430.27 S/.","1,262.54 S/.","4,001.30 S/.","2,157.39 S/.","7,551.54 S/.","4,642.70 S/.","2,165.73 S/.",9.25,,,,,
Toronto,25.00 C$,120.00 C$,16.00 C$,9.00 C$,4.09 C$,5.61 C$,2.91 C$,2.46 C$,3.83 C$,3.89 C$,4.05 C$,4.97 C$,14.71 C$,18.02 C$,22.62 C$,5.13 C$,1.74 C$,4.96 C$,5.15 C$,2.98 C$,2.30 C$,3.28 C$,2.50 C$,19.50 C$,3.30 C$,20.40 C$,3.35 C$,156.00 C$,4.25 C$,1.75 C$,31.03 C$,1.37 C$,"37,378.00 C$","28,678.53 C$",191.36 C$,51.01 C$,69.13 C$,75.26 C$,30.16 C$,17.99 C$,"1,321.87 C$","28,796.76 C$",81.69 C$,58.94 C$,131.86 C$,174.59 C$,"2,279.79 C$","2,000.00 C$","3,680.58 C$","3,099.14 C$","11,683.11 C$","9,388.57 C$","4,997.60 C$",4.44,,,,,
Vancouver,30.00 C$,120.00 C$,15.00 C$,8.00 C$,5.03 C$,5.77 C$,3.07 C$,2.44 C$,2.95 C$,3.92 C$,6.17 C$,5.65 C$,18.01 C$,19.35 C$,21.03 C$,5.82 C$,1.90 C$,5.54 C$,6.41 C$,4.03 C$,4.04 C$,3.66 C$,2.49 C$,21.00 C$,4.54 C$,21.50 C$,3.50 C$,114.00 C$,4.00 C$,2.28 C$,44.57 C$,1.66 C$,"39,580.00 C$","29,037.31 C$",123.59 C$,53.45 C$,72.23 C$,58.30 C$,23.19 C$,16.66 C$,"1,603.19 C$","29,246.67 C$",86.20 C$,57.52 C$,127.19 C$,160.00 C$,"2,644.40 C$","2,218.75 C$","4,952.94 C$","3,682.35 C$","12,547.12 C$","9,754.65 C$","4,886.14 C$",4.42,,,,,
Montreal,25.00 C$,100.00 C$,15.39 C$,8.00 C$,4.48 C$,5.36 C$,2.67 C$,2.11 C$,3.14 C$,4.54 C$,4.28 C$,4.85 C$,19.26 C$,17.72 C$,21.51 C$,4.66 C$,2.13 C$,4.49 C$,3.93 C$,4.00 C$,3.27 C$,3.03 C$,2.08 C$,15.00 C$,3.49 C$,17.00 C$,3.75 C$,104.50 C$,4.75 C$,2.05 C$,46.20 C$,1.62 C$,"39,580.00 C$","29,972.97 C$",116.92 C$,52.30 C$,59.00 C$,50.56 C$,28.37 C$,16.50 C$,711.92 C$,"19,732.89 C$",75.41 C$,55.00 C$,138.85 C$,167.44 C$,"1,791.67 C$","1,359.17 C$","2,975.52 C$","2,238.48 C$","7,356.05 C$","5,484.51 C$","4,129.31 C$",4.5,,,,,
Mumbai,500.00 ₹,"2,000.00 ₹",400.00 ₹,250.00 ₹,301.73 ₹,253.50 ₹,45.56 ₹,14.75 ₹,64.70 ₹,47.72 ₹,77.50 ₹,92.64 ₹,545.48 ₹,338.65 ₹,,223.92 ₹,70.42 ₹,118.28 ₹,50.36 ₹,37.93 ₹,41.44 ₹,49.77 ₹,29.07 ₹,750.00 ₹,193.75 ₹,350.00 ₹,20.00 ₹,500.00 ₹,30.00 ₹,30.00 ₹,150.00 ₹,105.21 ₹,"1,525,000.00 ₹","2,184,375.00 ₹","5,399.37 ₹",429.06 ₹,834.29 ₹,"2,527.33 ₹","1,159.09 ₹",400.00 ₹,"12,038.89 ₹","483,272.73 ₹","2,979.08 ₹","3,262.46 ₹","5,642.31 ₹","4,154.00 ₹","61,178.57 ₹","34,423.08 ₹","195,961.54 ₹","82,500.00 ₹","613,544.12 ₹","250,718.81 ₹","68,877.42 ₹",8.5,,,,,644.46 ₹
Delhi,500.00 ₹,"2,250.00 ₹",350.00 ₹,250.00 ₹,246.67 ₹,223.18 ₹,41.23 ₹,16.06 ₹,66.15 ₹,51.63 ₹,76.95 ₹,106.03 ₹,412.53 ₹,326.03 ₹,,177.62 ₹,71.95 ₹,98.27 ₹,55.29 ₹,32.95 ₹,39.58 ₹,47.74 ₹,29.12 ₹,900.00 ₹,169.24 ₹,350.00 ₹,40.00 ₹,"1,500.00 ₹",85.00 ₹,25.00 ₹,100.00 ₹,98.56 ₹,"1,250,000.00 ₹","2,110,760.00 ₹","4,864.08 ₹",425.74 ₹,764.41 ₹,"1,855.56 ₹",888.67 ₹,500.00 ₹,"6,617.42 ₹","185,250.00 ₹","2,421.39 ₹","2,899.96 ₹","5,392.86 ₹","4,380.00 ₹","24,518.52 ₹","15,192.31 ₹","71,521.74 ₹","40,909.09 ₹","240,286.01 ₹","87,901.58 ₹","50,143.97 ₹",9.32,,,,,583.12 ₹
Bangalore,250.00 ₹,"1,500.00 ₹",450.00 ₹,250.00 ₹,288.26 ₹,223.30 ₹,42.78 ₹,13.86 ₹,56.79 ₹,55.25 ₹,75.58 ₹,96.44 ₹,653.35 ₹,343.58 ₹,,225.91 ₹,64.09 ₹,118.23 ₹,39.11 ₹,35.73 ₹,33.47 ₹,35.57 ₹,28.62 ₹,"1,000.00 ₹",187.66 ₹,360.00 ₹,50.00 ₹,"1,325.00 ₹",100.00 ₹,25.00 ₹,200.00 ₹,104.75 ₹,"1,150,000.00 ₹","1,948,421.05 ₹","2,754.35 ₹",399.33 ₹,895.89 ₹,"1,535.02 ₹",605.26 ₹,400.00 ₹,"11,166.67 ₹","352,272.73 ₹","2,984.62 ₹","2,590.91 ₹","4,603.41 ₹","3,385.11 ₹","30,047.62 ₹","17,180.95 ₹","78,589.74 ₹","46,948.87 ₹","170,622.70 ₹","86,930.28 ₹","81,192.03 ₹",8.62,,,,,646.36 ₹
Colombo,"1,425.00 Rs","7,500.00 Rs","2,500.00 Rs",700.00 Rs,866.92 Rs,838.33 Rs,235.85 Rs,97.19 Rs,534.96 Rs,175.75 Rs,265.94 Rs,523.35 Rs,"4,033.66 Rs","1,409.21 Rs","2,377.77 Rs","2,093.75 Rs",296.52 Rs,"1,472.85 Rs",353.31 Rs,326.36 Rs,347.42 Rs,272.36 Rs,159.32 Rs,"4,000.00 Rs",658.24 Rs,"3,200.00 Rs",52.50 Rs,"2,578.28 Rs",130.00 Rs,120.00 Rs,300.00 Rs,322.83 Rs,"10,000,000.00 Rs","13,312,500.00 Rs","15,709.17 Rs","1,367.65 Rs","5,577.59 Rs","4,546.88 Rs","1,975.00 Rs","1,200.00 Rs","12,500.00 Rs","400,000.00 Rs","7,970.59 Rs","5,277.78 Rs","25,846.15 Rs","13,321.43 Rs","148,208.38 Rs","71,721.11 Rs","363,500.00 Rs","119,751.84 Rs","1,154,407.18 Rs","390,069.55 Rs","77,855.29 Rs",12.94,,,,,
Kathmandu,250.00 N₨,"2,700.00 N₨",900.00 N₨,380.00 N₨,463.81 N₨,244.32 N₨,76.92 N₨,23.55 N₨,121.62 N₨,82.55 N₨,137.06 N₨,250.67 N₨,"1,112.29 N₨",445.58 N₨,769.44 N₨,315.33 N₨,152.61 N₨,192.94 N₨,96.14 N₨,65.00 N₨,93.64 N₨,74.41 N₨,34.29 N₨,"1,000.00 N₨",336.79 N₨,400.00 N₨,30.00 N₨,"1,500.00 N₨",250.00 N₨,175.00 N₨,500.00 N₨,168.91 N₨,"4,500,000.00 N₨","5,887,873.50 N₨","4,441.76 N₨",617.39 N₨,"1,225.00 N₨","3,045.45 N₨","1,062.50 N₨",450.00 N₨,"10,105.26 N₨","740,334.00 N₨","3,366.67 N₨","3,537.50 N₨","8,357.14 N₨","5,526.32 N₨","26,782.61 N₨","13,052.38 N₨","64,862.50 N₨","26,054.55 N₨","352,122.81 N₨","203,283.78 N₨","36,212.12 N₨",10.2,,,,,
Dhaka,300.00 ৳,"1,500.00 ৳",800.00 ৳,,,283.64 ৳,42.47 ৳,21.10 ৳,100.56 ৳,71.93 ৳,84.57 ৳,146.57 ৳,"1,013.56 ৳",387.05 ৳,798.40 ৳,348.08 ৳,124.50 ৳,323.33 ৳,76.78 ৳,33.08 ৳,65.45 ৳,39.12 ৳,34.35 ৳,,,400.00 ৳,50.00 ৳,"3,000.00 ৳",150.00 ৳,50.00 ৳,400.00 ৳,122.21 ৳,"3,658,000.00 ৳","3,678,735.29 ৳","6,222.47 ৳",607.14 ৳,"1,543.18 ৳","2,350.00 ৳","1,558.33 ৳",500.00 ৳,"10,812.50 ৳","303,157.89 ৳","2,282.78 ৳","2,800.00 ৳","5,766.67 ৳","4,582.35 ৳","18,260.00 ৳","8,931.82 ৳","49,826.09 ৳","27,434.78 ৳","160,048.49 ৳","76,919.84 ৳","38,300.00 ৳",10.55,500.00 ৳,884.62 ৳,"1,500.00 ৳",634.75 ৳,
Sydney,30.00 A$,130.00 A$,16.05 A$,10.00 A$,6.05 A$,5.39 A$,3.96 A$,3.29 A$,2.69 A$,3.73 A$,3.23 A$,8.14 A$,18.90 A$,13.71 A$,22.33 A$,5.03 A$,4.38 A$,4.51 A$,7.43 A$,4.16 A$,3.53 A$,3.27 A$,1.74 A$,20.00 A$,7.05 A$,50.00 A$,5.60 A$,217.39 A$,5.40 A$,2.50 A$,60.00 A$,1.93 A$,"40,000.00 A$","38,735.04 A$",293.68 A$,33.48 A$,77.47 A$,104.12 A$,32.49 A$,25.00 A$,"3,124.40 A$","37,911.71 A$",113.92 A$,89.09 A$,154.00 A$,184.55 A$,"3,495.12 A$","2,399.06 A$","6,631.11 A$","4,014.60 A$","17,475.48 A$","11,093.55 A$","5,863.32 A$",5.99,,,,,
Melbourne,25.00 A$,120.00 A$,16.00 A$,12.50 A$,7.74 A$,5.46 A$,4.27 A$,3.38 A$,2.62 A$,4.32 A$,3.26 A$,8.48 A$,18.28 A$,14.06 A$,23.21 A$,5.68 A$,4.60 A$,4.37 A$,6.59 A$,4.42 A$,3.89 A$,3.52 A$,2.31 A$,20.00 A$,7.82 A$,50.00 A$,5.50 A$,196.00 A$,5.10 A$,1.98 A$,41.64 A$,1.94 A$,"41,000.00 A$","37,655.25 A$",308.44 A$,41.00 A$,77.00 A$,73.46 A$,28.92 A$,25.00 A$,"3,299.81 A$","44,247.17 A$",110.23 A$,77.54 A$,180.00 A$,178.69 A$,"2,453.46 A$","1,841.81 A$","4,751.76 A$","3,440.27 A$","10,581.14 A$","9,280.20 A$","6,112.06 A$",5.61,,,,,
Auckland,25.00 NZ$,125.00 NZ$,16.80 NZ$,12.17 NZ$,5.73 NZ$,6.02 NZ$,3.59 NZ$,3.79 NZ$,3.13 NZ$,3.73 NZ$,3.30 NZ$,10.70 NZ$,15.57 NZ$,17.02 NZ$,27.54 NZ$,5.05 NZ$,3.51 NZ$,5.42 NZ$,7.97 NZ$,3.09 NZ$,2.50 NZ$,3.30 NZ$,2.00 NZ$,17.50 NZ$,4.70 NZ$,45.00 NZ$,4.50 NZ$,217.39 NZ$,4.00 NZ$,3.50 NZ$,57.00 NZ$,2.77 NZ$,"44,990.00 NZ$","39,559.21 NZ$",286.31 NZ$,51.36 NZ$,85.41 NZ$,65.99 NZ$,29.33 NZ$,23.00 NZ$,"1,837.72 NZ$","32,040.31 NZ$",118.46 NZ$,76.42 NZ$,164.04 NZ$,198.05 NZ$,"2,222.73 NZ$","1,975.58 NZ$","4,104.71 NZ$","3,057.14 NZ$","13,105.83 NZ$","8,920.50 NZ$","5,467.00 NZ$",6.01,,,,,
Cape Town,200.00 R,800.00 R,95.00 R,50.00 R,33.84 R,39.70 R,24.52 R,18.95 R,22.26 R,19.40 R,37.37 R,48.00 R,141.68 R,101.82 R,139.74 R,30.43 R,30.62 R,30.87 R,31.50 R,25.86 R,24.53 R,20.41 R,18.87 R,104.99 R,24.01 R,55.00 R,18.50 R,995.00 R,20.00 R,18.00 R,82.50 R,21.15 R,"589,000.00 R","482,290.91 R","2,148.92 R",569.40 R,640.12 R,860.50 R,174.38 R,135.00 R,"4,419.17 R","90,501.54 R",970.80 R,603.85 R,"2,060.00 R","1,697.92 R","16,800.00 R","10,607.50 R","28,115.79 R","20,356.25 R","36,280.00 R","23,554.65 R","28,626.63 R",11.27,,,,,
Johannesburg,200.00 R,700.00 R,97.50 R,40.00 R,32.61 R,39.45 R,18.76 R,14.70 R,22.12 R,19.76 R,30.64 R,39.09 R,151.22 R,90.02 R,127.56 R,32.46 R,29.73 R,28.89 R,31.58 R,27.45 R,28.00 R,20.86 R,18.36 R,100.00 R,26.73 R,55.00 R,30.00 R,"1,350.00 R",16.00 R,15.00 R,240.00 R,22.42 R,"589,000.00 R","491,755.26 R","2,523.78 R",607.69 R,627.59 R,599.62 R,233.33 R,145.00 R,"3,602.38 R","89,668.00 R",953.77 R,765.00 R,"1,663.00 R","1,404.21 R","8,018.18 R","6,705.38 R","19,700.00 R","13,778.85 R","17,264.44 R","12,594.91 R","26,014.17 R",11.07,,,,,
Nairobi,725.00 KSh,"4,500.00 KSh",860.00 KSh,300.00 KSh,345.57 KSh,310.45 KSh,85.68 KSh,67.14 KSh,105.94 KSh,71.20 KSh,233.87 KSh,221.25 KSh,"1,401.34 KSh",843.67 KSh,760.62 KSh,405.48 KSh,136.26 KSh,239.50 KSh,129.04 KSh,130.76 KSh,122.50 KSh,87.12 KSh,92.62 KSh,"1,500.00 KSh",273.81 KSh,400.00 KSh,100.00 KSh,"3,600.00 KSh",200.00 KSh,200.00 KSh,375.00 KSh,183.59 KSh,"2,000,000.00 KSh","2,444,444.44 KSh","5,223.43 KSh","2,119.05 KSh","4,767.50 KSh","5,690.58 KSh","2,176.47 KSh","1,000.00 KSh","29,111.11 KSh","1,165,339.83 KSh","2,466.67 KSh","3,333.33 KSh","7,935.29 KSh","8,817.12 KSh","55,441.18 KSh","27,375.00 KSh","143,636.36 KSh","64,468.18 KSh","199,569.76 KSh","116,433.75 KSh","52,457.38 KSh",15.06,,,,,
